fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,total sulfur dioxide,density,pH,sulphates,alcohol,Id
7.2,0.53,0.13,2,0.058,22,0.99573,3.21,0.68,9.9,1532
8,0.39,0.3,1.9,0.074,84,0.99717,3.39,0.61,9,1533
6.6,0.56,0.14,2.4,0.064,29,0.99397,3.42,0.62,11.7,1534
7,0.55,0.13,2.2,0.075,35,0.9959,3.36,0.59,9.7,1535
6.2,0.64,0.09,2.5,0.081,26,0.99538,3.57,0.63,12,1538
6.2,0.52,0.08,4.4,0.071,32,0.99646,3.56,0.63,11.6,1540
8.4,0.37,0.43,2.3,0.063,19,0.9955,3.17,0.81,11.2,1544
6.5,0.63,0.33,1.8,0.059,28,0.99531,3.36,0.64,10.1,1545
7,0.57,0.02,2,0.072,26,0.99575,3.36,0.61,10.2,1546
11.2,0.4,0.5,2,0.099,50,0.99783,3.1,0.58,10.4,1548
7.4,0.36,0.3,1.8,0.074,24,0.99419,3.24,0.7,11.4,1549
7.1,0.67,0,2.3,0.083,27,0.99768,3.44,0.54,9.4,1551
6.3,0.68,0.01,3.7,0.103,54,0.99586,3.51,0.66,11.3,1552
7.3,0.735,0,2.2,0.08,28,0.99765,3.41,0.6,9.4,1553
7,0.56,0.17,1.7,0.065,24,0.99514,3.44,0.68,10.55,1555
6.6,0.88,0.04,2.2,0.066,20,0.99636,3.53,0.56,9.9,1556
6.6,0.855,0.02,2.4,0.062,23,0.99627,3.54,0.6,11,1557
6.9,0.63,0.33,6.7,0.235,115,0.99787,3.22,0.56,9.5,1558
7.8,0.6,0.26,2,0.08,131,0.99622,3.21,0.52,9.9,1559
7.8,0.6,0.26,2,0.08,131,0.99622,3.21,0.52,9.9,1560
7.8,0.6,0.26,2,0.08,131,0.99622,3.21,0.52,9.9,1561
7.2,0.695,0.13,2,0.076,20,0.99546,3.29,0.54,10.1,1562
7.2,0.695,0.13,2,0.076,20,0.99546,3.29,0.54,10.1,1563
6.7,0.67,0.02,1.9,0.061,42,0.99489,3.39,0.82,10.9,1565
6.7,0.16,0.64,2.1,0.059,52,0.99494,3.34,0.71,11.2,1566
7.2,0.695,0.13,2,0.076,20,0.99546,3.29,0.54,10.1,1567
7,0.56,0.13,1.6,0.077,42,0.99629,3.34,0.59,9.2,1568
6.2,0.51,0.14,1.9,0.056,34,0.99396,3.48,0.57,11.5,1569
6.4,0.36,0.53,2.2,0.23,35,0.9934,3.37,0.93,12.4,1570
6.4,0.38,0.14,2.2,0.038,25,0.99514,3.44,0.65,11.1,1571
7.3,0.69,0.32,2.2,0.069,104,0.99632,3.33,0.51,9.5,1572
6,0.58,0.2,2.4,0.075,50,0.99467,3.58,0.67,12.5,1573
7.5,0.52,0.4,2.2,0.06,20,0.99474,3.26,0.64,11.8,1575
8,0.3,0.63,1.6,0.081,29,0.99588,3.3,0.78,10.8,1576
6.2,0.7,0.15,5.1,0.076,27,0.99622,3.54,0.6,11.9,1577
6.8,0.67,0.15,1.8,0.118,20,0.9954,3.42,0.67,11.3,1578
7.4,0.35,0.33,2.4,0.068,26,0.9947,3.36,0.6,11.9,1580
6.1,0.715,0.1,2.6,0.053,27,0.99362,3.57,0.5,11.9,1582
6.2,0.46,0.29,2.1,0.074,98,0.99578,3.33,0.62,9.8,1583
6.7,0.32,0.44,2.4,0.061,34,0.99484,3.29,0.8,11.6,1584
7.5,0.31,0.41,2.4,0.065,60,0.99492,3.34,0.85,11.4,1586
5.8,0.61,0.11,1.8,0.066,28,0.99483,3.55,0.66,10.9,1587
6.3,0.55,0.15,1.8,0.077,35,0.99314,3.32,0.82,11.6,1590
5.4,0.74,0.09,1.7,0.089,26,0.99402,3.67,0.56,11.6,1591
6.3,0.51,0.13,2.3,0.076,40,0.99574,3.42,0.75,11,1592
6.8,0.62,0.08,1.9,0.068,38,0.99651,3.42,0.82,9.5,1593
6.2,0.6,0.08,2,0.09,44,0.9949,3.45,0.58,10.5,1594
5.9,0.55,0.1,2.2,0.062,51,0.99512,3.52,0.76,11.2,1595
5.9,0.645,0.12,2,0.075,44,0.99547,3.57,0.71,10.2,1597
